feature,importance
irritation_in_anus__w,0.097951695
swollen_legs__w,0.0979503
history_of_alcohol_consumption__w,0.048398837
yellow_crust_ooze__w,0.04839394
continuous_feel_of_urine__w,0.039283954
internal_itching__w,0.038746323
inflammatory_nails__w,0.03874452
scurring__w,0.036798697
patches_in_throat__w,0.03635085
hip_joint_pain__w,0.027723324
mucoid_sputum__w,0.027170507
weakness_in_limbs__w,0.025699774
movement_stiffness__w,0.024286462
visual_disturbances__w,0.024016334
toxic_look_(typhos)__w,0.024003744
lack_of_concentration__w,0.021612331
altered_sensorium__w,0.021146268
ulcers_on_tongue__w,0.0199535
unsteadiness__w,0.019474745
malaise__w,0.018699298
dehydration__w,0.016774695
watering_from_eyes__w,0.01668098
spotting__urination__w,0.015973689
nodal_skin_eruptions__w,0.014965767
increased_appetite__w,0.013318898
brittle_nails__w,0.012551869
palpitations__w,0.012536403
receiving_blood_transfusion__w,0.011261702
rusty_sputum__w,0.011250051
congestion__w,0.01123055
pain_behind_the_eyes__w,0.010693885
blood_in_sputum__w,0.010276495
abnormal_menstruation__w,0.009036879
red_spots_over_body__w,0.0086231055
coma__w,0.0080074
mild_fever__w,0.0076930122
muscle_weakness__w,0.0075162714
back_pain__w,0.0075134747
high_fever__w,0.006371087
sweating__w,0.0058285575
weight_loss__w,0.0036910267
family_history__w,0.0036694184
muscle_pain__w,0.0030003018
nausea__w,0.0022144113
dark_urine__w,0.0018020466
foul_smell_of_urine__w,0.0011350793
knee_pain__w,0.0010325479
pain_during_bowel_movements__w,0.0009972102
bruising__w,0.00096116343
depression__w,0.00093637675
shivering__w,0.00091379986
small_dents_in_nails__w,0.0009070974
bladder_discomfort__w,0.00088931376
blurred_and_distorted_vision__w,0.0008854827
fluid_overload__w,0.0008817192
belly_pain__w,0.00087862473
stomach_pain__w,0.0008755545
burning_micturition__w,0.0008297404
passage_of_gases__w,0.0008179809
dischromic__patches__w,0.0007988872
itching__w,0.0007907085
sunken_eyes__w,0.0007697101
spinning_movements__w,0.0007662481
prominent_veins_on_calf__w,0.00074766506
blister__w,0.0007349928
blackheads__w,0.00072604645
weakness_of_one_body_side__w,0.00070259784
extra_marital_contacts__w,0.00064115477
breathlessness__w,0.0006008041
silver_like_dusting__w,0.00057414104
dizziness__w,0.00056882045
pus_filled_pimples__w,0.0005256887
muscle_wasting__w,0.0005057048
skin_peeling__w,0.00047239242
distention_of_abdomen__w,0.00044740396
bloody_stool__w,0.00044313222
swelling_of_stomach__w,0.00042769132
acidity__w,0.00042308014
neck_pain__w,0.00041685745
red_sore_around_nose__w,0.00041683172
cramps__w,0.0004012437
continuous_sneezing__w,0.0003942542
yellowing_of_eyes__w,0.00037234044
stiff_neck__w,0.00036900453
pain_in_anal_region__w,0.00034811095
swelling_joints__w,0.0003276175
joint_pain__w,0.00032462456
vomiting__w,0.00029462762
yellowish_skin__w,0.00027341954
cough__w,0.00022966266
chest_pain__w,0.00021489867
loss_of_balance__w,0.00020518794
skin_rash__w,0.00017311756
fatigue__w,0.00016689733
abdominal_pain__w,0.00015680274
chills__w,0.00013323697
loss_of_appetite__w,0.00013056696
swollen_blood_vessels__w,0.00012361609
swelled_lymph_nodes__w,0.00012046659
constipation__w,0.00012029699
restlessness__w,0.00011610825
obesity__w,0.000113237176
painful_walking__w,0.00010709665
indigestion__w,9.709693e-05
lethargy__w,6.978484e-05
excessive_hunger__w,5.7498455e-05
fast_heart_rate__w,4.808503e-05
headache__w,4.556286e-05
diarrhoea__w,4.4737782e-05
irritability__w,3.393551e-05
acute_liver_failure__w,3.1848074e-05
mood_swings__w,2.5376696e-05
yellow_urine__w,0.0
anxiety__w,0.0
redness_of_eyes__w,0.0
weight_gain__w,0.0
runny_nose__w,0.0
cold_hands_and_feets__w,0.0
polyuria__w,0.0
phlegm__w,0.0
sore_throat__w,0.0
drying_and_tingling_lips__w,0.0
enlarged_thyroid__w,0.0
loss_of_smell__w,0.0
throat_irritation__w,0.0
swollen_extremeties__w,0.0
sinus_pressure__w,0.0
slurred_speech__w,0.0
puffy_face_and_eyes__w,0.0
irregular_sugar_level__w,0.0
stomach_bleeding__w,0.0
receiving_unsterile_injections__w,0.0
